id,latin,family,common,space,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit
0,Aeschynanthus lobianus,Gesneriaceae,Daphne,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Diascia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Echinacea,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Euphorbia characias,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Gaura,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Geum,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Helenium,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Hellebore,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Heucherella,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Hibiscus syriacus,medium,Java,Tropical,high,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Hosta variegated,medium,Java,Tropical,low,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Iberis,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Kniphofia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Lobularia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Lupin,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Lychnis,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Miscanthus,medium,Java,Tropical,medium,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Monarda,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Nepeta,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Ophiopogon,medium,Java,Tropical,medium,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Penstemon,medium,Java,Tropical,high,Direct sunlight,low,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
0,Aeschynanthus lobianus,Gesneriaceae,Perovskia,medium,Java,Tropical,medium,Direct sunlight,medium,"['Mealy bug', 'Aphid', 'Thrips']",,"['Hanging', 'Flower', 'Tertiary']",32,89.6,14,57.2
